FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.545,0.25,0.607,28.0,39.0,23.0,20.0,7.0,2.0,GSW,-10,1,0,LAL,0.4523809523809524
0.592,0.414,0.813,32.0,38.0,26.0,12.0,6.0,3.0,MIN,18,1,1,LAL,0.5975609756097561
0.488,0.32,0.891,46.0,47.0,26.0,17.0,9.0,3.0,SAC,7,0,1,LAL,0.2682926829268293
0.465,0.259,0.808,26.0,42.0,23.0,25.0,11.0,5.0,POR,-14,1,0,LAL,0.5180722891566265
0.542,0.355,0.682,22.0,40.0,34.0,19.0,6.0,5.0,MIN,1,0,1,LAL,0.5975609756097561
0.513,0.342,0.788,33.0,40.0,24.0,15.0,8.0,3.0,MEM,5,0,1,LAL,0.3048780487804878
0.505,0.326,0.826,23.0,41.0,33.0,12.0,14.0,2.0,MIA,10,1,1,LAL,0.5180722891566265
0.588,0.391,0.875,16.0,34.0,29.0,17.0,11.0,5.0,POR,8,0,1,LAL,0.5180722891566265
0.446,0.323,0.773,44.0,38.0,23.0,14.0,8.0,5.0,SAS,2,1,1,LAL,0.7560975609756098
0.457,0.4,0.8,20.0,47.0,23.0,20.0,8.0,5.0,ATL,-20,0,0,LAL,0.5609756097560976
0.5,0.359,0.85,20.0,36.0,25.0,11.0,12.0,2.0,CHO,10,0,1,LAL,0.5357142857142857
0.403,0.314,0.679,28.0,42.0,19.0,20.0,9.0,0.0,OKC,-29,0,0,LAL,0.7804878048780488
0.524,0.294,0.769,26.0,45.0,28.0,18.0,13.0,5.0,NOP,14,0,1,LAL,0.3170731707317073
0.494,0.394,0.909,33.0,47.0,23.0,17.0,13.0,4.0,MIL,24,0,1,LAL,0.3902439024390244
0.595,0.344,0.725,40.0,41.0,31.0,17.0,9.0,1.0,UTA,14,1,1,LAL,0.2682926829268293
0.442,0.263,0.815,27.0,45.0,23.0,14.0,7.0,4.0,UTA,2,0,1,LAL,0.2682926829268293
0.575,0.448,0.846,26.0,38.0,29.0,11.0,9.0,4.0,LAC,17,1,1,LAL,0.5060240963855421
0.592,0.514,0.808,26.0,34.0,27.0,15.0,4.0,4.0,DAL,10,1,1,LAL,0.3170731707317073
